"player_id","first_name","last_name","sex"
"668","Kevin","Roberts","m"
"669","Wayne","Roberts","m"
"670","Robbie","Robison","m"
"671","Budgie","zzz (CO States)","m"
"672","Tyler","Roddick","m"
"673","Terry","Roddy","m"
"674","Sebastian","Rodela","m"
"675","Joel","Rogers","m"
"676","Ray","Rogers","m"
"677","g","rose","f"
"678","Martin","Rosengren","m"
"679","Karl","Ross","m"
"680","Nikki","Ross","f"
"681","Richhi","Ross","m"
"682","Susanne","Rother","f"
"683","Jamie","Ruane","-"
"684","Kristen","Rudell","f"
"685","Hans Juergen","Runge","f"
"686","Klaus","Ruppert","m"
"687","John","Rushlow","m"
"688","Doug","Russell","m"
"689","Todd Bear","Rusthoven","m"
"690","Visa","Ruuhinen","m"
"691","John","Ruvelcaba","m"
"692","Mike","Ruzicka","m"
"693","Chris","Ryan","M"
"694","Dennis","Ryan","m"
"695","Rick","Sader","m"
"696","Tim","Sahlit","m"
"697","Tom","Sahlit","m"
"698","Scott","Sailor","m"
"699","Fred","Salaz","m"
"700","Gina","Sample","f"
"701","Rodney","Sanchez","m"
"702","Brent","Sanderson","m"
"703","Christian","Sandström","m"
"704","Ingar","Sandum","m"
"705","Alf","Saunders","m"
"706","Brenda","Savage","f"
"707","Tim","Scanlon","m"
"708","Steve","Scannell","m"
"709","Oliver","Schacht","m"
"710","Dave","Schiller","m"
"711","John","Schiller","m"
"712","Rick ""Rico""","Schneider","M"
"713","Scott","Scholten","m"
"714","Ed","Schorr","m"
"715","Jens","Schrader","m"
"716","Marc","Schrader","m"
"717","Andrew","Schrank","m"
"718","Ed","Schroer","m"
"719","Andy","Schwaneflugel","m"
"720","Mieke","Scott","m"
"721","Stephen","Scott","m"
"722","Marshall","Scribner","m"
"723","Mark","Sebastian","m"
"724","Jerry","Seidel","m"
"725","Maria","Seidel","f"
"726","Rory","Self","-"
"727","Frank","Senk","m"
"728","Scott","Severnson","m"
"729","Rusty","Sherman","m"
"730","Rivers","Sherrod","-"
"731","Crawford","Shortt","m"
"732","Stephen","Shurson","m"
"733","Chris","Sieben","m"
"734","Martin","Sievers","m"
"735","Mike","Sigrist","m"
"736","David","Silver","m"
"737","Randy","Silvey","m"
"738","Craig","Simon","m"
"739","Doug","Simon","m"
"740","Tony","Sisson","m"
"741","Aaron","Slezak","m"
"742","Daniel","Sloan","m"
"743","Craig","Smith","m"
"744","Jim","Smith","m"
"745","Mark","Smith","m"
"746","Paul","Smith","m"
"747","Richie","Smits","m"
"748","Leigh","Snavley","m"
"749","Jan","Sobel","m"
"750","Susan","Sobel","f"
"751","Patrik","Soderholm","m"
"752","Chris","Solis","m"
"753","Peter","Sontag","m"
"754","Jeff","Soto","m"
"755","Jason","Southwick","m"
"756","Kelley","Southwick","-"
"757","Brian","Stableford","m"
"758","Duke","Stableford","m"
"759","Ben","Stadher","m"
"760","Jack","Stanton","m"
"761","Scott","Starr","m"
"762","David","Starry","m"
"763","Jimmy","Stathis","m"
"764","Buddy","Steen","m"
"765","Bryan","Steffen","m"
"766","Jason","Steffen","m"
"767","Kraig","Steffen","m"
"768","Dave","Steger","m"
"769","Sandy","Steger","-"
"770","Don","Steinberg","m"
"771","Alan","Stevens","m"
"772","John","Stewart","m"
"773","Scott","Stokely","m"
"774","Karl-Christian","Storz","m"
"775","Steve","Stotter","m"
"776","Mike","Streety","m"
"777","Danny","Sullivan","m"
"778","Hans","Svensson","m"
"779","Jay","Svitko","m"
"780","Dan","Swanson","m"
"781","Dave","Swartz","m"
"782","Leslie","Sweet","f"
"783","Dazz","Switalla","-"
"784","Scott","Talcott","m"
"785","John","Tallent","m"
"786","Dean","Tannock","m"
"787","Dave","Tayloe","m"
"788","David","Taylor","m"
"789","Eric","Taylor","m"
"790","Jim","Terhorst","m"
"791","Randy","Terrazas","m"
"792","Nick","Thielman","m"
"793","(Octad)","Thompson","-"
"794","Brian","Thompson","m"
"795","Mike D.","Thompson","m"
"796","Nigel","Thompson","m"
"797","Paul","Thompson","m"
"798","John","Thomson","m"
"799","Espen","Thoren","m"
"800","John","Tisue","m"
"801","Xtehn","Titcomb","m"
"802","Jim","Tobish","m"
"803","JT","Tomkins","m"
"804","John","Tormey","m"
"805","Cliff","Towne","m"
"806","Joel","Townsan","m"
"807","Brian","Traichel","m"
"808","Mike","Tremble","m"
"809","Roy","Tritico","m"
"810","Tim","Troy","m"
"811","Mark","Truble","m"
"812","Bill","Tulin","m"
"813","Dan","Turner","m"
"814","Ronnie","Turner","m"
"815","Tita","Ugalde","f"
"816","Bill","Uhlarik","m"
"817","Ilene","Uhlarik","f"
"818","Joseph","Uhlarik","m"
"819","Mary","Uhlarik","f"
"820","Timo","Vakio","m"
"821","Krae","Van Sickle","m"
"822","Mark","Vasicek","m"
"823","Erwin","Velasquez","m"
"824","Jens","Velasquez","m"
"825","Greg","Veltkamp","m"
"826","Jarno","Venalainen","-"
"827","Jamie","Vento","-"
"828","Beth","Verish","f"
"829","Bob","Verish","m"
"830","David","Vescio","m"
"831","Randy","Victory","m"
"832","Art","Viger","m"
"833","Dave","Villareal","m"
"834","Ake","Vinberg","m"
"835","Ron","Vingerelli","m"
"836","Rafael","Vogler","m"
"837","Chris ""Max""","Voigt-Eberle","M"
"838","David","Voisin","m"
"839","Hartmut","Wahrmann","m"
"840","David","Waisblum","m"
"841","Don","Wallace","m"
"842","Shane","Walrond","m"
"843","Robbie","Ward","m"
"844","Steve","Ward","m"
"845","Enda","Warecka","-"
"846","Brian","Warner","m"
"847","Garth","Weaver","m"
"848","Scott","Weaver","m"
"849","Bob","Weege","m"
"850","Brad","Wendt","m"
"851","Elliot","Wentz","m"
"852","Sune","Wentzel","m"
"853","Rick","Werner","m"
"854","Kathrin","Westkaemper","f"
"855","Z","Weyand","m"
"856","Tom","Whiffen","m"
"857","Barrett","White","m"
"858","Jack","White","m"
"859","Glen","Whitlock","m"
"860","Sue","Whitlock","f"
"861","Karsten","Wiesner","m"
"862","Bob","Wigersma","m"
"863","Don","Wilchek","m"
"864","Jonathan","Willett","m"
"865","C.R.","Willey","m"
"866","Rick","Williams","m"
"867","Willi","Williams","m"
"868","Kevin","Willis","m"
"869","Jayme","Wilson","m"
"870","Travis","Wilson","m"
"871","Shannon","Winn","-"
"872","Merle","Witvoet","m"
"873","Lavone","Wolfe","m"
"874","Scott","Wolfe","m"
"875","Tam","Wolfe","m"
"876","Eric","Wootten","m"
"877","Heather","Wootten","m"
"878","Hunter","Wootten","m"
"879","Adam","Wright","m"
"880","Bill","Wright","m"
"881","Frank","Wulff","m"
"882","Allison","Wylot","m"
"883","Randy","Wylot","m"
"884","Carolyn","Yabe","f"
"885","Kijo","Yamashiro","-"
"886","Mark","Yandle","m"
"887","Dan","Yarnell","m"
"888","Jeff","Yoeman","m"
"889","Kaili","Young","f"
"890","Mike","Young","m"
"891","Dave","Zeff","m"
"892","Reto","Zimmerman","m"
"893","Utto","Zimmerman","m"
"894","Jim","Zuur","m"
"895","Flip","zzz (CO States)","m"
"896","Roger","zzz (Sonoma 95)","m"
"897","Victor","Malafronte","M"
"898","Jim","Scala","M"
"899","Ken","Westerfield","M"
"900","John","Connelly","M"
"901","Tom","Cleworth","M"
"902","Bruce","Koger","M"
"903","Irv","Kalb","M"
"904","Mark","Danna","M"
"905","Scott","Dickson","M"
"906","Kerry","Kollmar","M"
"907","Jim","Palmeri","M"
